fase,experimento,dataset,f1,auc_roc,sensitivity,specificity
Ablation (DRIVE val),UNet_BCE,DRIVE_val,0.5871273659044806,0.9334780371953149,0.43737331995189854,0.9943650191880602
Ablation (DRIVE val),UNet_Dice,DRIVE_val,0.7224310959555514,0.9497973261020893,0.7316646004288464,0.9684563574115211
Ablation (DRIVE val),UNet_Combined,DRIVE_val,0.6732543266890021,0.9262392627930741,0.585237223763586,0.9835470387837696
Ablation (DRIVE val),UNetPP_Combined,DRIVE_val,0.6671972501931247,0.9440443407119057,0.5691402483419783,0.9853042741793904
Ablation (DRIVE val),UNetPP_3levels,DRIVE_val,0.6796336818217968,0.9136595963768939,0.6600940630102801,0.9696898014872934
In-distribution (DRIVE test),UNet_Dice,DRIVE_test,0.715484702488695,0.9572261562014345,0.8007727643497359,0.9573215100627508
Domain shift (CHASE_DB1),Baseline (zero-shot),CHASE_DB1,0.6135713083010543,0.8898486140730517,0.5762753152558375,0.9774841198237257
Domain shift (CHASE_DB1),CLAHE preprocessing,CHASE_DB1,0.44746740846132593,0.9289646090380878,0.8810386793731446,0.8467280271222316
Domain shift (CHASE_DB1),TTA (6 transforms),CHASE_DB1,0.6405793184900421,0.8982295438964032,0.6286513002154951,0.9751030632260177
Domain shift (CHASE_DB1),Few-shot FT (5 imgs),CHASE_DB1,0.6158561018684716,0.9255720752512293,0.609573194467892,0.9731114052140412
