frame_id,imagen,n_helmet,n_no_helmet,n_person,n_compliant,n_non_compliant,compliance_rate
0,000003_jpg.rf.3e3418c1738426e3da942a8916c62fe5.jpg,6,0,3,6,0,1.0
1,000015_jpg.rf.b98c6f6b4a35b09b86ad2ddbfb86c2ec.jpg,5,0,0,5,0,1.0
2,000028_jpg.rf.febea55d6dc07bb90d4aaad5612f5b0d.jpg,1,0,0,1,0,1.0
3,000037_jpg.rf.39296ece121efabfa3fb127d6b8fb839.jpg,1,0,1,1,0,1.0
4,000068_jpg.rf.5a58eac1e3e77e3ebaa01fe4e5330231.jpg,2,0,0,2,0,1.0
5,000069_jpg.rf.f53f0bf10b4969460f1c659ca2fc8b2b.jpg,1,0,0,1,0,1.0
6,000080_jpg.rf.4287141e47a80803dee9bbaed4f105dd.jpg,1,0,0,1,0,1.0
7,000083_jpg.rf.75b7116c284fae894b1b05e8da5a7476.jpg,2,0,0,2,0,1.0
8,000109_jpg.rf.1388ab1e14319dcf99393528a91aee30.jpg,3,0,0,3,0,1.0
9,000124_jpg.rf.a3d945952931c4671283399e2ce224ae.jpg,1,0,0,1,0,1.0
10,000138_jpg.rf.ea69278da17947e5bbac081bf1c1f118.jpg,5,0,0,5,0,1.0
11,000147_jpg.rf.290ea0a5256f8053dba5e001525a1c39.jpg,1,0,0,1,0,1.0
12,000158_jpg.rf.4ee6842b911e542736e45a22a90bc26c.jpg,3,0,0,3,0,1.0
13,000175_jpg.rf.ee1c9edb2906fcb7d8dad39be80e4c2d.jpg,1,0,0,1,0,1.0
14,000185_jpg.rf.3f86dd7021d7f253a0200903eafeea77.jpg,3,0,0,3,0,1.0
15,000231_jpg.rf.abb594152b1483405fe241027c43753a.jpg,2,0,0,2,0,1.0
16,000245_jpg.rf.e44e945737b1f702c88bf1dc1146ae4c.jpg,3,0,0,3,0,1.0
17,000259_jpg.rf.e2ae2383b9c0d7a15a860e3c39063955.jpg,2,0,0,2,0,1.0
18,000266_jpg.rf.f9bbd971586c37066b353b6101c76b4b.jpg,1,0,0,1,0,1.0
19,000268_jpg.rf.97281480bd580e981311cd721c8fe2b7.jpg,1,0,0,1,0,1.0
